SEXO,SEMESTRE,GRADUADOS,Anio
Hombre,1,4,2018
Hombre,2,1,2018
Mujer,2,1,2018
Mujer,1,1,2018
Hombre,2,1,2018
Mujer,1,1,2018
Mujer,2,1,2018
Hombre,1,1,2018
Mujer,1,3,2018
Hombre,1,2,2018
Hombre,1,2,2018
Mujer,1,8,2018
Hombre,1,3,2018
Mujer,1,2,2018
Hombre,1,9,2018
Hombre,2,9,2018
Mujer,1,2,2018
Mujer,2,1,2018
Hombre,1,1,2018
Mujer,1,2,2018
Hombre,1,3,2018
Mujer,1,3,2018
Hombre,1,3,2018
Mujer,1,9,2018
Mujer,1,3,2018
Hombre,1,3,2018
Mujer,1,1,2018
Hombre,1,3,2018
Hombre,1,1,2018
Mujer,1,2,2018
Hombre,1,3,2018
Mujer,1,2,2018
Hombre,2,1,2018
Hombre,2,2,2018
Hombre,1,2,2018
Mujer,1,1,2018
Hombre,1,2,2018
Hombre,2,15,2018
Mujer,1,1,2018
Mujer,2,24,2018
Hombre,1,14,2018
Hombre,2,33,2018
Mujer,1,23,2018
Mujer,2,41,2018
Hombre,1,19,2018
Hombre,2,36,2018
Mujer,1,11,2018
Mujer,2,24,2018
Hombre,1,2,2018
Hombre,2,1,2018
Mujer,1,1,2018
Mujer,2,7,2018
Hombre,1,5,2018
Hombre,2,8,2018
Mujer,1,4,2018
Mujer,2,1,2018
Hombre,1,15,2018
Hombre,2,13,2018
Mujer,1,4,2018
Mujer,2,4,2018
Hombre,1,4,2018
Hombre,2,4,2018
Mujer,1,4,2018
Mujer,2,2,2018
Hombre,1,1,2018
Mujer,2,3,2018
Hombre,2,2,2018
Mujer,1,3,2018
Mujer,2,8,2018
Hombre,1,5,2018
Hombre,2,1,2018
Mujer,1,8,2018
Mujer,2,14,2018
Hombre,1,1,2018
Hombre,2,3,2018
Mujer,1,3,2018
Mujer,2,3,2018
Hombre,1,3,2018
Hombre,2,1,2018
Mujer,1,1,2018
Mujer,2,1,2018
Hombre,1,3,2018
Hombre,2,2,2018
Mujer,1,2,2018
Mujer,2,1,2018
Mujer,1,2,2018
Hombre,1,8,2018
Hombre,2,2,2018
Mujer,1,4,2018
Hombre,1,8,2018
Hombre,2,3,2018
Mujer,1,3,2018
Mujer,2,1,2018
Hombre,1,1,2018
Hombre,2,1,2018
Hombre,1,2,2018
Hombre,2,2,2018
Mujer,1,3,2018
Mujer,2,1,2018
Hombre,1,4,2018
Hombre,2,5,2018
Mujer,1,4,2018
Mujer,2,2,2018
Hombre,1,3,2018
Hombre,2,4,2018
Mujer,1,1,2018
Hombre,1,1,2018
Hombre,2,4,2018
Mujer,2,1,2018
Hombre,1,8,2018
Hombre,2,9,2018
Mujer,1,4,2018
Mujer,2,3,2018
Hombre,1,23,2018
Hombre,2,18,2018
Mujer,1,7,2018
Mujer,2,6,2018
Hombre,1,3,2018
Hombre,2,2,2018
Mujer,1,4,2018
Mujer,2,6,2018
Hombre,1,7,2018
Hombre,2,5,2018
Mujer,1,1,2018
Mujer,2,1,2018
Hombre,1,6,2018
Hombre,2,7,2018
Mujer,1,7,2018
Mujer,2,4,2018
Hombre,1,1,2018
Hombre,2,2,2018
Mujer,1,3,2018
Hombre,1,2,2018
Hombre,2,2,2018
Hombre,1,5,2018
Hombre,2,1,2018
Mujer,1,3,2018
Mujer,2,2,2018
Hombre,1,1,2018
Hombre,2,5,2018
Mujer,2,1,2018
Hombre,1,5,2018
Hombre,2,6,2018
Mujer,1,8,2018
Mujer,2,4,2018
Hombre,1,1,2018
Hombre,2,1,2018
Mujer,1,3,2018
Mujer,2,4,2018
Hombre,1,1,2018
Hombre,2,5,2018
Hombre,1,18,2018
Mujer,1,45,2018
Mujer,2,2,2018
Hombre,1,2,2018
Hombre,1,1,2018
Mujer,2,1,2018
Hombre,1,3,2018
Mujer,1,3,2018
Mujer,2,1,2018
Hombre,1,8,2018
Hombre,2,8,2018
Mujer,1,5,2018
Mujer,2,7,2018
Hombre,1,10,2018
Hombre,2,10,2018
Mujer,1,3,2018
Mujer,2,6,2018
Hombre,1,2,2018
Hombre,2,3,2018
Mujer,2,1,2018
Hombre,1,6,2018
Hombre,2,1,2018
Hombre,1,1,2018
Hombre,1,4,2018
Hombre,2,6,2018
Mujer,1,5,2018
Mujer,2,1,2018
Mujer,2,3,2018
Hombre,2,2,2018
Mujer,2,1,2018
Hombre,2,1,2018
Mujer,1,2,2018
Hombre,1,42,2018
Hombre,2,27,2018
Mujer,1,50,2018
Mujer,2,31,2018
Hombre,1,1,2018
Mujer,1,1,2018
Hombre,1,55,2018
Hombre,2,21,2018
Mujer,1,64,2018
Mujer,2,28,2018
Hombre,1,8,2018
Hombre,2,2,2018
Mujer,1,13,2018
Hombre,1,1,2018
Mujer,1,1,2018
Mujer,1,1,2018
Hombre,1,2,2018
Hombre,1,2,2018
Hombre,1,12,2018
Hombre,2,8,2018
Mujer,1,2,2018
Mujer,2,14,2018
Hombre,2,4,2018
Mujer,1,3,2018
Mujer,2,1,2018
Hombre,1,1,2018
Hombre,1,1,2018
Hombre,2,3,2018
Hombre,1,1,2018
Mujer,1,2,2018
Hombre,1,5,2018
Mujer,2,3,2018
Mujer,1,3,2018
Mujer,2,3,2018
Hombre,2,1,2018
Mujer,1,2,2018
Mujer,2,3,2018
Hombre,1,1,2018
Hombre,2,1,2018
Mujer,1,1,2018
Mujer,2,2,2018
Hombre,1,3,2018
Hombre,2,6,2018
Mujer,1,2,2018
Mujer,2,2,2018
Hombre,2,2,2018
Mujer,2,1,2018
Hombre,1,3,2018
Hombre,2,2,2018
Mujer,1,3,2018
Mujer,2,1,2018
